model,RMSE,CRPS,lag,covar
Poisson 1-week lag,37.43646836017388,27.22311882352941,NA,NA
Poisson 1-week lag,37.43646836017388,26.98227717647059,1,auto
Poisson 3-week hb lag,32.20805556440443,24.826004470588234,3,hb
Poisson 9-week mn2t24 lag,29.49175301928383,23.455134823529413,9,mn2t24
Poisson 6-week mxrh24 lag,32.999109540971574,24.146784470588237,6,mxrh24
Poisson 2-week mnrh24 lag,30.59266073777682,23.45934211764706,2,mnrh24
Poisson 5-week mxsh24 lag,29.387496880088218,22.68637105882353,5,mxsh24
Poisson 5-week mnsh24 lag,29.447594438539642,23.11174517647059,5,mnsh24
Poisson 3-week precip lag,31.519173497878317,24.519298352941178,3,precip
Poisson 2-week rh lag,32.223242277845955,23.674558588235296,2,rh
Poisson 5-week sh lag,29.31502924306915,23.209290588235294,5,sh
Poisson 11-week t2m lag,30.911321094547752,24.271662117647057,11,t2m
Poisson 17-week ws lag,37.6805137212862,26.061314352941178,17,ws
Poisson all covariables lagged,47.44212239391599,36.25461694117647,NA,NA
NB 1-week lag,37.43646836017388,24.52796,NA,NA
